Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,3.0177966101694915,0,1160,350,10
0,1,2.9965811965811966,0,1160,350,10
0,2,2.970833333333333,0,1160,350,10
0,3,3.016949152542373,0,1160,350,10
0,4,3.0127118644067794,0,1160,350,10
0,5,3.0211864406779663,0,1160,350,10
0,6,2.9975,0,1160,350,10
0,7,3.023931623931624,0,1160,350,10
0,8,3.001666666666667,0,1160,350,10
0,9,3.017948717948718,0,1160,430,10
0,10,2.993333333333333,0,1160,350,10
0,11,2.988135593220339,0,1160,500,10
1,0,2.9975,0,1160,350,10
1,1,2.9858333333333333,0,1160,350,10
1,2,2.9974358974358974,0,1160,350,10
1,3,3.0008474576271187,0,1160,350,10
1,4,3.0177966101694915,0,1160,350,10
1,5,2.9816666666666665,0,1160,350,10
1,6,2.9683333333333333,0,1160,350,10
1,7,3.011111111111111,0,1160,350,10
1,8,2.9957627118644066,0,1160,350,10
1,9,3.0211864406779663,0,1160,430,10
1,10,3.0188034188034187,0,1160,350,10
1,11,2.9974358974358974,0,1160,500,10
2,0,3.0094017094017094,0,1160,350,10
2,1,3.023076923076923,0,1160,350,10
2,2,3.022033898305085,0,1160,350,10
2,3,3.017948717948718,0,1160,350,10
2,4,3.0084745762711864,0,1160,350,10
2,5,2.9725,0,1160,350,10
2,6,3.038983050847458,0,1160,350,10
2,7,2.9966101694915253,0,1160,350,10
2,8,3.005084745762712,0,1160,350,10
2,9,3.028205128205128,0,1160,430,10
2,10,2.9725,0,1160,350,10
2,11,3.005,0,1160,500,10
