Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,2.975833333333333,0,1160,350,10
0,1,2.9816666666666665,0,1160,350,10
0,2,2.9683333333333333,0,1160,350,10
0,3,3.005084745762712,0,1160,350,10
0,4,2.98,0,1160,350,10
0,5,2.9766666666666666,0,1160,350,10
0,6,3.0127118644067794,0,1160,350,10
0,7,3.0211864406779663,0,1160,350,10
0,8,2.9883333333333333,0,1160,350,10
0,9,3.022033898305085,0,1160,430,10
0,10,3.0,0,1160,350,10
0,11,2.9883333333333333,0,1160,500,10
1,0,3.0008474576271187,0,1160,350,10
1,1,3.01864406779661,0,1160,350,10
1,2,3.0,0,1160,350,10
1,3,2.9908333333333332,0,1160,350,10
1,4,3.0,0,1160,350,10
1,5,2.9766666666666666,0,1160,350,10
1,6,2.9675000000000002,0,1160,350,10
1,7,2.9808333333333334,0,1160,350,10
1,8,3.005,0,1160,350,10
1,9,2.98,0,1160,430,10
1,10,2.9923728813559323,0,1160,350,10
1,11,3.005084745762712,0,1160,500,10
2,0,2.9833333333333334,0,1160,350,10
2,1,3.0042372881355934,0,1160,350,10
2,2,3.0008474576271187,0,1160,350,10
2,3,2.985,0,1160,350,10
2,4,2.98,0,1160,350,10
2,5,3.0084745762711864,0,1160,350,10
2,6,3.0,0,1160,350,10
2,7,3.0041666666666664,0,1160,350,10
2,8,3.005,0,1160,350,10
2,9,2.985,0,1160,430,10
2,10,3.001666666666667,0,1160,350,10
2,11,3.0,0,1160,500,10
