Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,2.261904761904762,1,910,250,10
0,1,1.130952380952381,14,735,560,10
0,2,0,15,0,0,2
0,3,1.580952380952381,11,810,540,10
0,4,2.261904761904762,1,910,630,10
1,0,0,15,20,130,2
1,1,2.2476190476190476,1,910,330,10
1,2,0,15,115,590,3
1,3,1.460952380952381,11,810,380,10
1,4,2.2347619047619047,1,910,660,10
2,0,2.2347619047619047,1,910,610,10
2,1,2.2561904761904765,1,910,300,10
2,2,2.2719047619047616,1,910,580,10
2,3,1.6752380952380954,8,840,510,10
2,4,1.423809523809524,11,810,380,10
