Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,0,14,245,920,13
0,1,1.971376811594203,1,910,1100,19
0,2,0,14,165,1250,12
0,3,1.0402173913043478,12,760,1240,19
0,4,0,14,55,610,11
1,0,1.7105072463768116,4,880,1160,19
1,1,1.4221014492753623,8,840,1040,19
1,2,1.843840579710145,2,860,1050,19
1,3,0,14,140,1080,12
1,4,1.6644927536231884,5,870,1190,19
2,0,0,14,255,1170,13
2,1,0,14,380,1090,15
2,2,1.9333333333333333,1,910,1020,19
2,3,0,14,660,1210,18
2,4,1.3884057971014494,8,840,1170,19
