Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,2.9266666666666667,2,860,330,10
0,1,2.626666666666667,2,860,480,10
0,2,2.626666666666667,2,860,380,10
0,3,0,15,645,380,9
0,4,0,15,110,50,3
0,5,0,15,155,150,3
0,6,2.6866666666666665,2,900,490,10
0,7,0,15,460,460,8
0,8,1.8866666666666667,11,810,450,10
0,9,3.2866666666666666,2,860,150,10
0,10,0,15,0,400,2
0,11,0,15,0,0,2
0,12,0,15,110,330,3
0,13,0,15,0,0,2
0,14,4.32,0,1160,500,10
0,15,0,15,0,0,2
0,16,3.0999999999999996,3,1130,480,10
0,17,0,15,0,430,2
0,18,0,15,0,430,2
0,19,2.7933333333333334,1,910,480,10
0,20,0,15,0,430,2
0,21,0,15,45,430,2
0,22,1.82,12,760,450,10
0,23,0,15,0,0,2
0,24,0,15,110,50,3
0,25,2.086666666666667,11,810,400,10
0,26,0,15,0,460,2
0,27,2.58,9,1070,480,10
0,28,0,15,0,430,2
0,29,1.9266666666666667,11,810,480,10
0,30,0,15,100,100,3
0,31,0,15,35,480,2
0,32,2.6066666666666665,2,860,360,10
0,33,0,15,0,0,2
0,34,0,15,0,0,2
0,35,0,15,110,50,3
0,36,1.5166666666666666,14,705,480,10
0,37,2.493333333333333,4,840,410,10
0,38,0,15,0,0,2
0,39,0,15,110,480,3
0,40,0,15,0,360,2
0,41,1.9066666666666667,11,810,490,10
0,42,0,15,210,440,4
0,43,2.7933333333333334,1,910,480,10
0,44,0,15,0,480,2
0,45,0,15,135,100,3
0,46,0,15,10,480,2
0,47,2.6066666666666665,2,860,490,10
0,48,0,15,220,480,4
0,49,0,15,115,480,3
0,50,4.62,0,1160,350,10
0,51,0,15,0,360,2
0,52,1.8,12,760,330,10
0,53,0,15,0,360,2
0,54,3.2733333333333334,1,1150,480,10
0,55,2.26,6,810,480,10
0,56,2.62,12,760,50,10
0,57,1.8166666666666669,11,735,460,10
0,58,2.666666666666667,2,860,410,10
0,59,0,15,490,480,8
0,60,0,15,0,180,2
0,61,1.9666666666666668,11,810,410,10
0,62,0,15,700,310,9
0,63,0,15,0,180,2
0,64,1.9266666666666667,11,810,480,10
0,65,0,15,110,310,3
0,66,0,15,0,180,2
0,67,0,15,10,310,2
0,68,0,15,110,430,3
0,69,0,15,0,400,2
