Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,1.483572567783094,1,910,3660,37
0,1,1.0803459119496854,11,810,2890,37
0,2,1.5276729559748428,1,910,3510,37
0,3,1.855503144654088,1,910,2860,37
0,4,1.7689497716894977,1,910,3060,37
0,5,2.204361370716511,1,910,1990,37
0,6,1.6833333333333333,1,910,2820,37
0,7,1.882642089093702,1,910,2830,37
0,8,1.9485849056603775,3,890,1810,37
0,9,1.5606918238993712,1,910,2770,37
0,10,1.7800314465408804,1,910,3080,37
0,11,3.0235849056603774,0,1160,2970,37
0,12,1.8941176470588235,1,910,2900,37
0,13,1.6763239875389409,1,910,3250,37
0,14,2.060061443932412,1,910,2300,37
0,15,2.547641509433962,0,1160,3560,37
0,16,2.790566037735849,0,1160,3000,37
0,17,1.5536163522012578,1,910,2110,37
0,18,2.2251993620414674,1,910,2090,37
0,19,2.5414746543778803,0,1160,3340,37
0,20,2.8743961352657004,0,1160,2850,37
0,21,1.6196969696969696,1,910,2360,37
0,22,2.1560606060606062,1,910,1890,37
0,23,2.6774193548387095,0,1160,3590,37
0,24,2.908675799086758,0,1160,2770,37
0,25,1.8885220125786164,1,910,2240,37
0,26,2.5682242990654207,0,1160,3900,37
0,27,1.5072463768115942,5,870,2870,37
0,28,2.5966981132075473,0,1160,3430,37
0,29,1.951969696969697,1,910,2060,37
0,30,1.1699685534591195,11,810,2450,37
0,31,2.127591706539075,1,910,2370,37
0,32,1.357757296466974,1,910,3040,37
0,33,1.73768115942029,1,910,2600,37
0,34,1.6096618357487924,1,910,3360,37
0,35,1.7022012578616352,1,910,2880,37
0,36,1.9515981735159817,1,910,1900,37
0,37,1.625570776255708,5,870,2700,37
0,38,1.9144654088050315,1,910,2760,37
0,39,1.940880503144654,1,910,2730,37
0,40,1.746969696969697,1,910,2990,37
0,41,1.8106918238993712,1,910,2900,37
0,42,1.9856060606060606,1,910,2510,37
0,43,1.390880503144654,1,910,3360,37
0,44,1.7945773524720894,1,910,3090,37
0,45,1.5465408805031446,1,910,3590,37
0,46,2.5566037735849054,0,1160,3530,37
0,47,1.7095890410958905,1,910,3060,37
0,48,2.938679245283019,0,1160,2790,37
0,49,1.416425120772947,11,810,2240,37
0,50,2.1290880503144654,1,910,2240,37
0,51,1.4125603864734302,9,830,2310,37
0,52,2.040809968847352,1,910,2270,37
0,53,1.5674242424242424,1,910,3300,37
0,54,2.5990338164251208,0,1160,3470,37
0,55,1.6573899371069183,1,910,3260,37
0,56,2.910377358490566,0,1160,3160,37
0,57,2.7493087557603686,0,1160,3490,37
0,58,2.8702830188679247,0,1160,3280,37
0,59,1.602450980392157,1,910,3510,37
0,60,1.8174242424242424,1,910,2780,37
0,61,2.106605222734255,1,910,2200,37
0,62,1.6009661835748794,7,850,2360,37
0,63,2.6204545454545456,0,1160,3760,37
0,64,2.047488584474886,1,910,2320,37
0,65,1.3777777777777778,1,910,3590,37
0,66,1.6674242424242425,1,910,2470,37
0,67,1.7766513056835638,1,910,3010,37
0,68,1.3922705314009662,1,910,3410,37
0,69,1.599231950844854,1,910,3020,37
0,70,3.15,0,1160,2610,37
0,71,2.5589622641509435,0,1160,3400,37
0,72,2.037106918238994,1,910,2500,37
0,73,1.8424242424242423,1,910,2380,37
0,74,3.129032258064516,0,1160,2640,37
0,75,1.4262578616352202,1,910,3780,37
0,76,1.6031446540880503,1,910,3040,37
0,77,1.363364779874214,11,810,2290,37
0,78,1.8222222222222222,1,910,2950,37
0,79,2.0654088050314465,1,910,2440,37
0,80,0.9616438356164384,10,820,2450,37
0,81,2.5660377358490565,0,1160,3940,37
0,82,2.324242424242424,1,910,1680,37
0,83,1.8469696969696972,1,910,2160,37
0,84,1.4557077625570778,2,900,3470,37
0,85,1.87437106918239,1,910,2750,37
0,86,2.5893719806763285,0,1160,3360,37
0,87,1.7309178743961353,9,830,2040,37
0,88,2.5454545454545454,0,1160,3710,37
0,89,2.260522273425499,1,910,1510,37
0,90,2.177572964669739,1,910,2190,37
0,91,2.563679245283019,0,1160,3340,37
0,92,1.7639553429027113,1,910,3000,37
0,93,1.2920122887864824,11,810,2010,37
0,94,1.938235294117647,1,910,2780,37
0,95,1.753787878787879,1,910,2990,37
0,96,3.327188940092166,0,1160,2260,37
0,97,1.6245098039215686,1,910,3480,37
0,98,1.3625786163522013,1,910,3850,37
0,99,2.547945205479452,0,1160,2800,37
1,0,3.089861751152074,0,1160,2760,37
1,1,2.7547169811320753,0,1160,3100,37
1,2,2.908675799086758,0,1160,2770,37
1,3,3.1136363636363633,0,1160,2690,37
1,4,1.6393241167434716,1,910,3190,37
1,5,2.5495283018867925,0,1160,3480,37
1,6,3.327188940092166,0,1160,2260,37
1,7,2.608490566037736,0,1160,3850,37
1,8,2.9308755760368665,0,1160,3070,37
1,9,2.6545454545454543,0,1160,2890,37
1,10,3.0872641509433962,0,1160,2770,37
1,11,2.6933962264150946,0,1160,3230,37
1,12,2.6226415094339623,0,1160,3330,37
1,13,1.6019969278033794,1,910,3250,37
1,14,3.0921658986175116,0,1160,2720,37
1,15,2.952830188679245,0,1160,3120,37
1,16,2.5660377358490565,0,1160,3380,37
1,17,2.644927536231884,0,1160,3360,37
1,18,3.0144927536231885,0,1160,3040,37
1,19,2.918181818181818,0,1160,2690,37
1,20,3.063679245283019,0,1160,2770,37
1,21,2.6019323671497583,0,1160,3870,37
1,22,2.1913978494623656,1,910,2040,37
1,23,2.8632075471698113,0,1160,3260,37
1,24,2.0924242424242427,1,910,2340,37
1,25,3.1313364055299537,0,1160,2640,37
1,26,2.5966981132075473,0,1160,3430,37
1,27,2.5386363636363636,0,1160,3940,37
1,28,2.067767295597484,1,910,2370,37
1,29,1.546236559139785,1,910,2800,37
1,30,2.9080188679245285,0,1160,3200,37
1,31,1.9425499231950845,1,910,2090,37
1,32,2.9806763285024154,0,1160,3010,37
1,33,1.713993710691824,1,910,3220,37
1,34,2.561320754716981,0,1160,3050,37
1,35,2.5613636363636365,0,1160,3840,37
1,36,3.1981566820276495,0,1160,2490,37
1,37,2.547169811320755,0,1160,3900,37
1,38,2.2092767295597486,1,910,2120,37
1,39,2.547169811320755,0,1160,3370,37
1,40,2.547169811320755,0,1160,3550,37
1,41,2.763285024154589,0,1160,3080,37
1,42,2.606280193236715,0,1160,3440,37
1,43,1.9050314465408804,1,910,2780,37
1,44,2.9068181818181817,0,1160,2910,37
1,45,1.8767295597484277,1,910,2450,37
1,46,2.80184331797235,0,1160,3090,37
1,47,3.2264150943396226,0,1160,2490,37
1,48,2.8702830188679247,0,1160,3280,37
1,49,3.0,0,1160,3020,37
1,50,2.56036866359447,0,1160,3900,37
1,51,2.7193396226415096,0,1160,3170,37
1,52,3.2350230414746544,0,1160,2460,37
1,53,3.172727272727273,0,1160,2560,37
1,54,2.597235023041475,0,1160,3820,37
1,55,2.6372641509433965,0,1160,3320,37
1,56,3.1636363636363636,0,1160,2580,37
1,57,2.608490566037736,0,1160,3770,37
1,58,2.5442396313364055,0,1160,3920,37
1,59,2.7193396226415096,0,1160,3600,37
1,60,3.28110599078341,0,1160,2360,37
1,61,2.6933962264150946,0,1160,3590,37
1,62,2.961818181818182,0,1160,3000,37
1,63,1.6890937019969279,1,910,3250,37
1,64,2.69811320754717,0,1160,3400,37
1,65,2.9863636363636363,0,1160,2740,37
1,66,2.599056603773585,0,1160,3480,37
1,67,2.6204545454545456,0,1160,3330,37
1,68,2.5825471698113205,0,1160,3330,37
1,69,2.7788018433179724,0,1160,3400,37
1,70,2.665909090909091,0,1160,3610,37
1,71,2.2564465408805034,1,910,2070,37
1,72,2.106060606060606,1,910,2260,37
1,73,2.660377358490566,0,1160,3350,37
1,74,2.1015151515151516,1,910,2010,37
1,75,2.563679245283019,0,1160,3800,37
1,76,2.80184331797235,0,1160,3400,37
1,77,2.083333333333333,1,910,2310,37
1,78,2.5660377358490565,0,1160,3500,37
1,79,1.7871069182389938,1,910,2600,37
1,80,1.3692780337941628,1,910,3670,37
1,81,2.9631336405529956,0,1160,3050,37
1,82,2.538812785388128,0,1160,3580,37
1,83,2.6839622641509435,0,1160,3560,37
1,84,2.6533018867924527,0,1160,3430,37
1,85,2.615566037735849,0,1160,3380,37
1,86,2.8858447488584473,0,1160,2770,37
1,87,2.5849056603773586,0,1160,3420,37
1,88,1.9592767295597484,1,910,2650,37
1,89,2.260522273425499,1,910,2010,37
1,90,3.013824884792627,0,1160,2890,37
1,91,1.3688172043010753,1,910,3880,37
1,92,2.903225806451613,0,1160,2690,37
1,93,2.94811320754717,0,1160,3000,37
1,94,2.128787878787879,1,910,2260,37
1,95,2.547945205479452,0,1160,3300,37
1,96,2.5754716981132075,0,1160,3350,37
1,97,3.1382488479262673,0,1160,2490,37
1,98,1.6809748427672955,1,910,2980,37
1,99,1.8415458937198068,1,910,2890,37
2,0,3.2119815668202767,0,1160,2510,37
2,1,3.0681818181818183,0,1160,2790,37
2,2,2.066973886328725,1,910,2310,37
2,3,3.1386363636363637,0,1160,2620,37
2,4,2.3066052227342553,1,910,1910,37
2,5,2.867924528301887,0,1160,3070,37
2,6,3.0681818181818183,0,1160,2790,37
2,7,1.9922955974842766,1,910,2500,37
2,8,3.0235849056603774,0,1160,2920,37
2,9,2.7142857142857144,0,1160,3590,37
2,10,3.1816037735849054,0,1160,2570,37
2,11,2.7327188940092166,0,1160,3500,37
2,12,2.882075471698113,0,1160,3120,37
2,13,2.1038402457757295,1,910,2350,37
2,14,3.089861751152074,0,1160,2760,37
2,15,3.0023584905660377,0,1160,2950,37
2,16,2.7788018433179724,0,1160,3370,37
2,17,2.6485849056603774,0,1160,3700,37
2,18,3.0872641509433962,0,1160,2770,37
2,19,3.202830188679245,0,1160,2490,37
2,20,3.117924528301887,0,1160,2720,37
2,21,2.986175115207373,0,1160,2490,37
2,22,3.1636363636363636,0,1160,2580,37
2,23,2.9308755760368665,0,1160,2940,37
2,24,3.119815668202765,0,1160,2660,37
2,25,3.081818181818182,0,1160,2760,37
2,26,2.8184331797235025,0,1160,3040,37
2,27,3.081818181818182,0,1160,2760,37
2,28,3.089861751152074,0,1160,2760,37
2,29,3.063679245283019,0,1160,2770,37
2,30,2.960829493087558,0,1160,3040,37
2,31,2.9331797235023043,0,1160,2970,37
2,32,2.564516129032258,0,1160,3900,37
2,33,1.9696969696969697,1,910,2480,37
2,34,2.9903381642512077,0,1160,3090,37
2,35,3.0691244239631335,0,1160,2640,37
2,36,2.7783018867924527,0,1160,3380,37
2,37,2.563679245283019,0,1160,3710,37
2,38,2.7327188940092166,0,1160,3370,37
2,39,2.006060606060606,1,910,2530,37
2,40,2.0205974842767294,1,910,2470,37
2,41,2.555299539170507,0,1160,3920,37
2,42,3.152073732718894,0,1160,2510,37
2,43,1.9242424242424243,1,910,2580,37
2,44,3.1636363636363636,0,1160,2580,37
2,45,2.705188679245283,0,1160,3200,37
2,46,3.161290322580645,0,1160,2440,37
2,47,2.966183574879227,0,1160,3090,37
2,48,2.2823899371069185,1,910,1970,37
2,49,2.5668202764976957,0,1160,3810,37
2,50,3.0299539170506913,0,1160,2760,37
2,51,3.1636363636363636,0,1160,2580,37
2,52,1.9734276729559748,1,910,2570,37
2,53,3.0599078341013826,0,1160,2710,37
2,54,1.935691823899371,1,910,2650,37
2,55,2.9516129032258065,0,1160,3060,37
2,56,2.9,0,1160,3160,37
2,57,2.232861635220126,1,910,2070,37
2,58,2.1665130568356377,1,910,2010,37
2,59,2.8514150943396226,0,1160,3220,37
2,60,2.2257861635220126,1,910,2020,37
2,61,2.783410138248848,0,1160,3340,37
2,62,2.1644654088050315,1,910,2000,37
2,63,2.6958525345622117,0,1160,3070,37
2,64,3.0368663594470044,0,1160,2840,37
2,65,2.0128787878787877,1,910,2370,37
2,66,1.9878787878787878,1,910,2570,37
2,67,2.7,0,1160,3600,37
2,68,2.668181818181818,0,1160,3670,37
2,69,2.6108490566037736,0,1160,3780,37
2,70,2.078494623655914,1,910,2260,37
2,71,2.8755760368663594,0,1160,2810,37
2,72,2.85,0,1160,3090,37
2,73,2.9681818181818183,0,1160,2960,37
2,74,3.1226415094339623,0,1160,2660,37
2,75,2.8548387096774195,0,1160,3170,37
2,76,3.0990783410138247,0,1160,2740,37
2,77,2.944700460829493,0,1160,3090,37
2,78,2.7954545454545454,0,1160,3390,37
2,79,2.0606060606060606,1,910,2260,37
2,80,3.0545454545454547,0,1160,2690,37
2,81,1.7207729468599036,1,910,3140,37
2,82,2.8087557603686637,0,1160,3370,37
