Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,2.7533333333333334,1,910,500,10
0,1,2.1666666666666665,11,810,230,10
0,2,1.9066666666666667,11,810,230,10
0,3,0,15,315,380,5
0,4,0,15,0,230,2
0,5,2.626666666666667,2,860,380,10
0,6,0,15,0,0,2
0,7,2.63,3,845,430,10
0,8,0,15,145,390,3
0,9,0,15,0,0,2
0,10,2.833333333333333,1,910,460,10
0,11,0,15,0,400,2
0,12,2.7533333333333334,1,910,450,10
0,13,0,15,465,330,8
0,14,3.1866666666666665,2,1140,480,10
0,15,0,15,0,0,2
0,16,0,15,225,460,4
0,17,2.4833333333333334,4,835,460,10
0,18,0,15,0,0,2
0,19,0,15,0,80,2
0,20,0,15,0,0,2
0,21,0,15,10,80,2
0,22,2.706666666666667,2,900,480,10
0,23,0,15,0,330,2
0,24,0,15,0,180,2
0,25,0,15,0,0,2
0,26,1.9266666666666667,11,810,480,10
0,27,4.32,0,1160,450,10
0,28,2.1766666666666667,8,785,430,10
0,29,2.986666666666667,2,860,300,10
0,30,2.7733333333333334,1,910,490,10
0,31,1.5633333333333332,13,695,50,10
0,32,2.7933333333333334,1,910,480,10
0,33,1.5566666666666666,14,735,310,10
0,34,2.7533333333333334,1,910,450,10
0,35,0,15,90,180,3
0,36,3.2866666666666666,2,1140,430,10
0,37,0,15,0,230,2
0,38,2.8533333333333335,1,910,400,10
0,39,0,15,690,150,9
0,40,3.0599999999999996,3,1130,500,10
0,41,0,15,0,0,2
0,42,0,15,0,0,2
0,43,0,15,110,230,3
0,44,0,15,0,0,2
0,45,0,15,0,430,2
0,46,0,15,0,80,2
0,47,0,15,20,470,2
0,48,0,15,0,80,2
0,49,0,15,0,430,2
0,50,1.8466666666666667,11,770,480,10
0,51,0,15,110,490,3
0,52,2.873333333333333,1,910,310,10
0,53,1.8166666666666669,11,765,230,10
0,54,0,15,70,480,3
0,55,0,15,720,490,10
0,56,0,15,70,430,3
0,57,2.7933333333333334,1,910,480,10
0,58,2.833333333333333,1,910,460,10
0,59,2.1466666666666665,8,840,400,10
0,60,2.7933333333333334,1,910,480,10
0,61,0,15,110,480,3
0,62,2.7533333333333334,7,1090,480,10
0,63,1.9666666666666668,11,810,460,10
0,64,0,15,110,230,3
0,65,0,15,0,80,2
0,66,0,15,0,80,2
0,67,0,15,0,0,2
