Generation,ID,Fitness,Lives lost,Money earned,Money spent,Waves Survived
0,0,2.8995137763371153,0,1160,3380,46
0,1,1.8424242424242423,1,910,3250,46
0,2,1.962506753106429,1,910,2590,46
0,3,1.7287878787878788,1,910,3420,46
0,4,1.1773809523809524,11,810,3010,46
0,5,1.706060606060606,1,910,3670,46
0,6,1.4555194805194804,6,860,3350,46
0,7,1.431982712047542,11,810,2220,46
0,8,1.4471096704484063,1,910,3910,46
0,9,1.2363636363636363,9,830,2940,46
0,10,1.8034632034632034,1,910,2990,46
0,11,2.5811688311688314,0,1160,3980,46
0,12,1.8196969696969698,1,910,3220,46
0,13,1.5615800865800866,1,910,4070,46
0,14,1.6208535926526202,1,910,3380,46
0,15,2.928896103896104,0,1160,3060,46
0,16,3.0291734197730955,0,1160,2770,46
0,17,3.0324675324675328,0,1160,3070,46
0,18,1.4827922077922078,9,1070,2830,46
0,19,2.737012987012987,0,1160,3270,46
0,20,1.8833333333333333,1,910,3100,46
0,21,2.4237012987012987,0,1160,4570,46
0,22,2.8279220779220777,0,1160,3370,46
0,23,1.6606060606060606,1,910,3580,46
0,24,1.9511615343057807,1,910,2720,46
0,25,1.962506753106429,1,910,2800,46
0,26,1.3366883116883117,9,830,2640,46
0,27,0.907900432900433,11,810,3440,46
0,28,1.6817099567099567,1,910,3550,46
0,29,2.4175324675324674,0,1160,4930,46
0,30,3.0,0,1160,3170,46
0,31,1.8930735930735931,1,910,2940,46
0,32,1.749891774891775,1,910,2880,46
0,33,2.008008658008658,1,910,2690,46
0,34,2.578246753246753,0,1160,3590,46
0,35,1.8002164502164502,1,910,3380,46
0,36,1.7145021645021645,1,910,3180,46
0,37,1.7274986493787141,1,910,2650,46
0,38,1.904112554112554,1,910,2880,46
0,39,2.8522727272727275,0,1160,3530,46
0,40,1.5141774891774893,4,880,3070,46
0,41,1.7904761904761903,1,910,3150,46
0,42,2.925324675324675,0,1160,3400,46
0,43,1.322943722943723,1,910,3830,46
0,44,2.875,0,1160,3080,46
0,45,1.8765151515151515,1,910,2740,46
0,46,1.0312770562770563,11,810,2770,46
0,47,1.6963203463203462,1,910,3520,46
0,48,1.7777417612101567,1,910,3220,46
0,49,2.7970779220779223,0,1160,3830,46
0,50,1.93008658008658,1,910,2980,46
0,51,1.835930735930736,1,910,3270,46
0,52,1.510318746623447,1,910,3450,46
0,53,1.7372231226364128,1,910,2950,46
0,54,1.6784632034632034,1,910,3560,46
0,55,1.9690476190476192,1,910,2670,46
0,56,1.9755411255411255,1,910,2840,46
0,57,1.5908008658008659,1,910,3370,46
0,58,1.908982683982684,1,910,2620,46
0,59,1.3366883116883117,9,1070,2520,46
0,60,1.6084415584415583,3,890,3050,46
0,61,2.9561688311688314,0,1160,3260,46
0,62,1.7777417612101567,1,910,3090,46
0,63,1.611561318206375,5,870,2670,46
0,64,1.445887445887446,8,840,2560,46
0,65,3.188311688311688,0,1160,2640,46
0,66,1.8364127498649379,1,910,3150,46
0,67,2.4505672609400326,0,1160,4470,46
0,68,1.93008658008658,1,910,2950,46
0,69,2.5084415584415583,0,1160,3950,46
0,70,2.4155844155844157,0,1160,4640,46
0,71,1.9398163155051324,1,910,2770,46
0,72,1.5546536796536796,5,870,2750,46
0,73,1.60995670995671,4,880,3010,46
0,74,1.8943722943722943,1,910,3040,46
0,75,1.3922077922077922,6,860,3000,46
0,76,1.9674242424242425,1,910,2820,46
0,77,3.0032467532467533,0,1160,3210,46
0,78,1.7583333333333333,1,910,3340,46
0,79,1.4851731601731601,5,870,3420,46
0,80,1.9787878787878788,1,910,2580,46
0,81,2.030735930735931,1,910,2270,46
0,82,1.654112554112554,1,910,3450,46
0,83,1.552705627705628,8,840,2490,46
0,84,1.6362554112554113,1,910,3200,46
0,85,1.378138528138528,1,910,4490,46
0,86,2.5194805194805197,0,1160,4650,46
0,87,1.817748917748918,4,880,2620,46
0,88,2.542207792207792,0,1160,4150,46
0,89,1.5106060606060607,7,850,2600,46
0,90,1.6437229437229437,7,850,2450,46
0,91,1.7206709956709956,1,910,3100,46
0,92,1.4162337662337663,9,830,2740,46
0,93,1.628138528138528,1,910,3530,46
0,94,1.5843073593073593,1,910,3980,46
0,95,1.863641274986494,1,910,2990,46
0,96,2.4220779220779223,0,1160,4520,46
0,97,2.935064935064935,0,1160,3370,46
0,98,2.122960561858455,1,910,2190,46
0,99,1.6448406266882767,1,910,3430,46
1,0,2.941653160453809,0,1160,3350,46
1,1,3.107142857142857,0,1160,2890,46
1,2,2.7,0,1160,3740,46
1,3,1.7096320346320346,1,910,3590,46
1,4,2.7045454545454546,0,1160,3700,46
